Ciudad,Fecha y Hora,Temperatura,Sensación Térmica,Humedad,Presión,Clima,Descripción
Buenos Aires,2025-05-09 10:58:07,17.11,16.78,73,1015,Despejado,Cielo despejado
Córdoba,2025-05-09 11:06:46,16.3,16.26,87,1017,Nublado,Nubes rotas
Santa Fe,2025-05-09 11:09:58,17.13,17.33,93,1012,Nublado,Nublado
Mendoza,2025-05-09 11:01:43,14.74,13.5,47,1018,Despejado,Cielo despejado
Salta,2025-05-09 10:59:23,20.88,21.06,78,1016,Nublado,Nubes rotas
Entre Rios,2025-05-09 11:07:29,28.14,29.43,58,1016,Nublado,Pocas nubes
San Luis,2025-05-09 11:09:32,16.77,15.91,54,1017,Despejado,Cielo despejado
San Juan,2025-05-09 11:07:07,15.92,15.0,55,1018,Despejado,Cielo despejado
Neuquén,2025-05-09 11:00:02,14.94,13.72,47,1014,Despejado,Cielo despejado
La Rioja,2025-05-09 11:10:03,9.88,9.88,77,1010,Lluvia,Lluvia ligera
Misiones,2025-05-09 11:10:03,16.39,15.42,51,1011,Despejado,Cielo despejado
