Ciudad,Fecha y Hora,Temperatura,Sensación Térmica,Humedad,Presión,Clima,Descripción
Buenos Aires,2025-05-21 16:07:07,13.99,12.93,57,1022,Despejado,Cielo despejado
Córdoba,2025-05-21 16:13:48,14.47,14.27,88,1017,Nublado,Nublado
Santa Fe,2025-05-21 16:06:33,17.87,16.91,46,1017,Despejado,Cielo despejado
Mendoza,2025-05-21 16:04:05,17.49,16.23,36,1016,Despejado,Cielo despejado
Salta,2025-05-21 16:08:51,21.25,20.66,47,1013,Despejado,Cielo despejado
Entre Rios,2025-05-21 16:16:14,25.35,25.72,68,1014,Nublado,Nubes dispersas
San Luis,2025-05-21 16:16:15,19.6,18.66,40,1015,Nublado,Pocas nubes
San Juan,2025-05-21 16:15:35,20.78,19.38,18,1014,Nublado,Nubes dispersas
Neuquén,2025-05-21 16:15:19,15.94,14.45,33,1019,Despejado,Cielo despejado
La Rioja,2025-05-21 16:16:18,10.88,10.22,84,1020,Nublado,Nublado
Misiones,2025-05-21 16:15:14,11.39,10.2,62,1022,Despejado,Cielo despejado
