Ciudad,Fecha y Hora,Temperatura,Sensación Térmica,Humedad,Presión,Clima,Descripción
Buenos Aires,2025-05-13 11:57:37,19.25,19.19,75,1018,Despejado,Cielo despejado
Córdoba,2025-05-13 12:10:18,22.31,22.19,61,1013,Nublado,Pocas nubes
Santa Fe,2025-05-13 12:08:19,22.41,22.51,69,1013,Despejado,Cielo despejado
Mendoza,2025-05-13 12:07:05,19.16,18.36,47,1010,Nublado,Pocas nubes
Salta,2025-05-13 12:00:08,19.21,19.01,70,1014,Despejado,Cielo despejado
Entre Rios,2025-05-13 12:10:21,25.7,26.44,81,1016,Nublado,Nubes dispersas
San Luis,2025-05-13 12:08:18,21.95,21.14,36,1010,Nublado,Nubes rotas
San Juan,2025-05-13 12:08:20,21.43,20.78,44,1009,Nublado,Nubes rotas
Neuquén,2025-05-13 12:09:48,18.94,17.62,28,1009,Nublado,Nublado
La Rioja,2025-05-13 12:09:08,14.23,13.28,60,1012,Nublado,Nublado
Misiones,2025-05-13 12:10:24,20.32,19.61,46,1012,Nublado,Nubes dispersas
