Ciudad,Fecha y Hora,Temperatura,Sensación Térmica,Humedad,Presión,Clima,Descripción
Buenos Aires,2025-04-30 11:35:41,20.08,19.68,59,1018,Despejado,Cielo despejado
Córdoba,2025-04-30 11:40:25,21.52,20.95,47,1013,Despejado,Cielo despejado
Santa Fe,2025-04-30 11:38:03,21.66,21.34,56,1015,Despejado,Cielo despejado
Mendoza,2025-04-30 11:36:53,17.74,16.82,48,1009,Despejado,Cielo despejado
Salta,2025-04-30 11:37:58,16.43,16.22,80,1013,Nublado,Nubes rotas
Entre Rios,2025-04-30 11:42:32,34.58,36.45,40,1010,Nublado,Nubes dispersas
San Luis,2025-04-30 11:47:09,22.32,21.68,41,1010,Nublado,Nubes dispersas
San Juan,2025-04-30 11:45:01,21.23,20.35,36,1009,Nublado,Nubes rotas
Neuquén,2025-04-30 11:45:17,11.94,10.6,54,1011,Despejado,Cielo despejado
La Rioja,2025-04-30 11:47:11,16.88,15.96,51,1012,Nublado,Nubes dispersas
Misiones,2025-04-30 11:45:44,21.04,20.45,48,1013,Nublado,Nubes dispersas
