Ciudad,Fecha y Hora,Temperatura,Sensación Térmica,Humedad,Presión,Clima,Descripción
Buenos Aires,2025-04-30 11:57:55,20.36,19.97,58,1018,Despejado,Cielo despejado
Córdoba,2025-04-30 12:00:04,23.48,22.88,38,1013,Despejado,Cielo despejado
Santa Fe,2025-04-30 11:48:04,22.46,22.17,54,1015,Despejado,Cielo despejado
Mendoza,2025-04-30 11:59:40,17.74,16.82,48,1009,Despejado,Cielo despejado
Salta,2025-04-30 11:56:28,16.33,16.03,77,1013,Nublado,Nubes rotas
Entre Rios,2025-04-30 12:00:32,34.58,36.45,40,1010,Nublado,Nubes dispersas
San Luis,2025-04-30 12:00:33,22.32,21.68,41,1010,Nublado,Nubes dispersas
San Juan,2025-04-30 12:00:34,21.23,20.35,36,1009,Nublado,Nubes rotas
Neuquén,2025-04-30 12:00:05,11.94,10.6,54,1011,Despejado,Cielo despejado
La Rioja,2025-04-30 11:50:36,16.88,15.96,51,1012,Nublado,Nubes dispersas
Misiones,2025-04-30 12:00:36,21.04,20.45,48,1013,Nublado,Nubes dispersas
