Ciudad,Fecha y Hora,Temperatura,Sensación Térmica,Humedad,Presión,Clima,Descripción
Buenos Aires,2025-05-15 13:37:24,19.93,20.22,86,1014,Nublado,Nublado
Córdoba,2025-05-15 13:45:49,26.31,26.31,76,1010,Nublado,Nublado
Santa Fe,2025-05-15 13:42:41,27.32,29.51,71,1010,Nublado,Nublado
Mendoza,2025-05-15 13:45:50,19.71,19.07,51,1010,Despejado,Cielo despejado
Salta,2025-05-15 13:42:02,22.54,22.78,74,1008,Nublado,Nubes dispersas
Entre Rios,2025-05-15 13:45:52,28.31,28.43,46,1014,Nublado,Pocas nubes
San Luis,2025-05-15 13:42:03,22.43,22.43,65,1010,Nublado,Nublado
San Juan,2025-05-15 13:40:34,22.93,22.45,45,1009,Nublado,Pocas nubes
Neuquén,2025-05-15 13:36:36,19.19,17.84,26,1011,Nublado,Nubes dispersas
La Rioja,2025-05-15 13:41:34,9.18,8.25,97,1019,Nublado,Nublado
Misiones,2025-05-15 13:45:55,24.32,24.4,61,1009,Nublado,Pocas nubes
