Ciudad,Fecha y Hora,Temperatura,Sensación Térmica,Humedad,Presión,Clima,Descripción
Buenos Aires,2025-05-19 00:18:01,10.71,9.59,67,1020,Despejado,Cielo despejado
Córdoba,2025-05-19 00:14:45,8.47,8.04,72,1020,Despejado,Cielo despejado
Santa Fe,2025-05-19 00:17:16,12.83,12.0,70,1015,Despejado,Cielo despejado
Mendoza,2025-05-19 00:11:46,10.5,8.42,31,1015,Despejado,Cielo despejado
Salta,2025-05-19 00:08:04,15.32,14.84,74,1018,Nublado,Nubes rotas
Entre Rios,2025-05-19 00:19:09,20.48,21.14,98,1018,Nublado,Nubes rotas
San Luis,2025-05-19 00:14:45,10.36,8.42,37,1016,Despejado,Cielo despejado
San Juan,2025-05-19 00:17:56,12.22,10.25,29,1014,Despejado,Cielo despejado
Neuquén,2025-05-19 00:17:14,2.94,2.94,75,1016,Despejado,Cielo despejado
La Rioja,2025-05-19 00:19:12,10.88,10.32,88,1014,Despejado,Cielo despejado
Misiones,2025-05-19 00:17:47,5.39,1.76,70,1018,Despejado,Cielo despejado
