Ciudad,Fecha y Hora,Temperatura,Sensación Térmica,Humedad,Presión,Clima,Descripción
Buenos Aires,2025-05-13 00:11:45,14.68,14.42,85,1021,Despejado,Cielo despejado
Córdoba,2025-05-13 00:02:52,17.64,17.08,62,1017,Despejado,Cielo despejado
Santa Fe,2025-05-13 00:08:49,15.81,15.48,78,1015,Despejado,Cielo despejado
Mendoza,2025-05-13 00:04:47,15.79,15.12,65,1013,Despejado,Cielo despejado
Salta,2025-05-13 00:12:52,11.01,10.67,96,1018,Despejado,Cielo despejado
Entre Rios,2025-05-13 00:13:14,20.44,21.07,97,1017,Nublado,Pocas nubes
San Luis,2025-05-13 00:05:14,15.38,14.64,64,1014,Despejado,Cielo despejado
San Juan,2025-05-13 00:13:12,18.32,17.67,56,1012,Despejado,Cielo despejado
Neuquén,2025-05-13 00:13:14,14.02,12.47,38,1012,Nublado,Nubes rotas
La Rioja,2025-05-13 00:13:17,6.81,5.51,90,1014,Nublado,Nublado
Misiones,2025-05-13 00:13:17,16.93,16.22,59,1016,Despejado,Cielo despejado
