Ciudad,Fecha y Hora,Temperatura,Sensación Térmica,Humedad,Presión,Clima,Descripción
Buenos Aires,2025-05-06 11:50:25,19.83,20.04,83,1014,Despejado,Cielo despejado
Córdoba,2025-05-06 11:56:34,19.05,19.49,95,1011,Nublado,Nublado
Santa Fe,2025-05-06 11:57:45,25.09,25.67,77,1009,Nublado,Nubes rotas
Mendoza,2025-05-06 11:56:00,15.74,14.62,48,1008,Despejado,Cielo despejado
Salta,2025-05-06 11:55:41,20.88,20.98,75,1010,Nublado,Nubes dispersas
Entre Rios,2025-05-06 11:59:31,25.79,26.7,87,1015,Nublado,Nubes dispersas
San Luis,2025-05-06 11:57:03,22.55,22.35,57,1008,Despejado,Cielo despejado
San Juan,2025-05-06 11:56:34,22.2,21.52,40,1008,Despejado,Cielo despejado
Neuquén,2025-05-06 11:59:33,9.94,8.71,76,1008,Despejado,Cielo despejado
La Rioja,2025-05-06 11:59:34,9.88,7.66,64,1016,Nublado,Nubes dispersas
Misiones,2025-05-06 11:57:16,18.11,17.86,72,1010,Nublado,Nublado
